Team,Nationality,Position,Age,Potential,Name
Piast Gliwice ,Poland,Arquero,39,Bueno,Jakub Szmatula
Kristiansund BK ,Ethiopia,Segundo Delantero | Defensor Lateral Derecho | Mediocampista Izquierdo,34,Bueno,Amin Askar
Fleetwood Town ,England,Mediocampista Central,36,Bueno,Dean Marney
Slask Wroclaw ,Poland,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Central,34,Bueno,Mariusz Pawelec
Legia Warszawa ,Spain,Defensor Central,36,Bueno,Iñaki Astiz
HJK Helsinki ,Spain,Arquero,38,Bueno,Reguero
Salford City ,Scotland,Mediocampista Derecho | Mediocampista Izquierdo,35,Bueno,Craig Conway
Club Tijuana ,Mexico,Arquero,41,Bueno,Luis Michel
Milton Keynes Dons ,England,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,36,Bueno,Dean Lewington
Ross County FC ,Scotland,Defensor Extremo Derecho | Defensor Lateral Derecho | Defensor Lateral Izquierdo | Extremo Derecho,34,Bueno,Richard Foster
Tranmere Rovers ,Republic of Ireland,Mediocampista Defensivo Central | Mediocampista Central,35,Bueno,Darren Potter
FSV Zwickau ,Germany,Segundo Delantero,37,Bueno,Ronny König
Blackpool ,England,Defensor Extremo Derecho | Mediocampista Derecho | Extremo Derecho,33,Bueno,Liam Feeney
Inter ,Italy,Arquero,37,Bueno,Tommaso Berni
Wycombe Wanderers ,England,Mediocampista Central,36,Bueno,Matt Bloomfield
Exeter City ,England,Mediocampista Derecho | Mediocampista Izquierdo,33,Bueno,Lee Holmes
Tranmere Rovers ,England,Defensor Central,38,Bueno,Peter Clarke
Crawley Town ,England,Arquero,36,Bueno,Glenn Morris
Crewe Alexandra ,Republic of Ireland,Mediocampista Central,37,Bueno,Paul Green
Free Agents ,Bulgaria,Defensor Lateral Izquierdo,22,Bueno,Angel Lyaskov
FC Schalke 04 ,Finland,Defensor Central | Mediocampista Defensivo Central,18,Muy Bueno,Malick Thiaw
Girona FC ,Uruguay,Segundo Delantero,23,Bueno,Joaquín Zeballos
MKE Ankaragücü ,Serbia,Mediocampista Defensivo Central,26,Bueno,Miloš Stanojevic
Club Libertad ,Paraguay,Mediocampista Defensivo Central,20,Bueno,Hugo Martínez
Rio Ave FC ,Brazil,Extremo Derecho | Extremo Izquierdo,21,Bueno,Leandro Silva
FC Dallas ,United States,Defensor Central,23,Bueno,Nkosi Burgess
Vélez Sarsfield ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Marcos Enrique
FBC Melgar ,Peru,Mediocampista Defensivo Central,25,Bueno,Jeremy Salas
Club Atlético Nacional Potosí ,Bolivia,Arquero,30,Bueno,Elder Arauz
Unión de Santa Fe ,Argentina,Defensor Lateral Derecho,20,Bueno,Francisco Gerometta
Liverpool Fútbol Club ,Uruguay,Mediocampista Defensivo Central,17,Bueno,Fabricio Díaz
Girona FC ,Spain,Segundo Delantero | Centrocampista Ofensivo Central,23,Bueno,Carlos Martínez
Toulouse Football Club ,France,Segundo Delantero,17,Muy Bueno,Janis Antiste
Atlético Madrid ,Spain,Defensor Lateral Derecho | Mediocampista Derecho,20,Bueno,Ricard
Club Sol de América ,Ecuador,Segundo Delantero,24,Bueno,Jacson Pita
Cusco Fútbol Club ,Peru,Mediocampista Derecho,24,Bueno,Miguel Carranza
Cusco Fútbol Club ,Peru,Defensor Lateral Derecho,24,Bueno,Jorge Toledo
FC Utrecht ,Germany,Segundo Delantero,23,Bueno,Jonas Arweiler
Olympique Lyonnais ,Brazil,Mediocampista Derecho | Centrocampista Ofensivo Central,21,Bueno,Camilo
Belenenses ,Portugal,Defensor Central,23,Bueno,Danny Henriques
HJK Helsinki ,Serbia,Defensor Central,31,Bueno,Ivan Ostojic
Portimonense SC ,Iraq,Segundo Delantero,20,Muy Bueno,Mohanad Ali
Standard de Liège ,Mali,Defensor Central,19,Bueno,Moussa Sissako
Liverpool Fútbol Club ,Uruguay,Defensor Central,27,Bueno,Maximiliano Pereira
Marítimo ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,André Mesquita
Rosario Central ,Argentina,Centrocampista Ofensivo Central,20,Bueno,Francesco Lo Celso
Rosario Central ,Argentina,Mediocampista Defensivo Central,19,Muy Bueno,Rodrigo Villagra
Vancouver Whitecaps FC ,Ghana,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Leonard Owusu
Liverpool Fútbol Club ,Uruguay,Mediocampista Defensivo Central,32,Bueno,Guillermo Firpo
Deportes Tolima ,Costa Rica,Segundo Delantero,27,Bueno,Francisco Rodríguez
Club Atlético Nacional Potosí ,Bolivia,Defensor Central,29,Bueno,Jorge Cuellar
Kaizer Chiefs ,Kenya,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Teddy Akumu
Wisla Kraków ,Serbia,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Nikola Kuveljic
RSC Anderlecht ,Belgium,Segundo Delantero | Centrocampista Ofensivo Central,19,Bueno,Antoine Colassin
Cusco Fútbol Club ,Peru,Segundo Delantero,30,Bueno,Janio Pósito
SK Slavia Praha ,Brazil,Extremo Derecho | Extremo Izquierdo,19,Bueno,João Felipe
Shamrock Rovers ,Northern Ireland,Defensor Lateral Derecho | Mediocampista Central,25,Bueno,Rhys Marshall
Royal Antwerp FC ,DR Congo,Defensor Central,24,Bueno,Luete Ava Dongo
Valencia CF ,Spain,Centrocampista Ofensivo Central | Delantero Centro,19,Bueno,Gozálbez
Belenenses ,Portugal,Centrocampista Ofensivo Central,21,Bueno,Tomás Castro
Caracas Fútbol Club ,Venezuela,Mediocampista Central,23,Bueno,Luis Ramírez
Havre Athletic Club ,France,Defensor Central,20,Bueno,Loïc Badé
C.D. Universidad Católica del Ecuador ,Ecuador,Defensor Central,21,Bueno,Luis Castillo
Club Deportivo Jorge Wilstermann ,Bolivia,Segundo Delantero,24,Bueno,Willan Álvarez
Patronato ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Lautaro Torres
LDU Quito ,Ecuador,Extremo Derecho | Extremo Izquierdo,21,Bueno,Davinson Jama
Houston Dynamo ,United States,Mediocampista Central | Centrocampista Ofensivo Central,19,Bueno,Marcelo Palomino
Club Plaza de Deportes Colonia ,Uruguay,Segundo Delantero | Mediocampista Derecho | Extremo Derecho,25,Bueno,Ramiro Quintana
spusu SKN St. Pölten ,Austria,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,20,Bueno,Nicolas Meister
Club Sportivo Luqueño ,Paraguay,Defensor Lateral Derecho,30,Bueno,Oscar Noguera
Club Sportivo Luqueño ,Paraguay,Defensor Lateral Derecho | Defensor Central,25,Bueno,Richard Cabrera
Ajax ,Netherlands,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,18,Muy Bueno,Sontje Hansen
Club River Plate Asunción ,Paraguay,Defensor Lateral Derecho,33,Bueno,Gustavo Giménez
Club River Plate Asunción ,Paraguay,Defensor Lateral Izquierdo,26,Bueno,Carlos Montiel
Club River Plate Asunción ,Paraguay,Mediocampista Central,28,Bueno,Francisco Parra
Club River Plate Asunción ,Paraguay,Arquero,31,Bueno,Pablo Gavilán
FC Girondins de Bordeaux ,France,Delantero Centro,21,Bueno,Mehdi Zerkane
Club Atlético River Plate ,Uruguay,Defensor Central,21,Bueno,Joaquín Fernández
Club Atlético Peñarol ,Uruguay,Mediocampista Izquierdo | Mediocampista Central,21,Bueno,Joaquín Piquerez
Llaneros Escuela de Fútbol ,Colombia,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,27,Bueno,Anderson Perea
Llaneros Escuela de Fútbol ,Venezuela,Centrocampista Ofensivo Central | Extremo Izquierdo,26,Bueno,Yonaiker Reyes
CA Osasuna ,Spain,Arquero,23,Bueno,Iñaki Álvarez
Club Deportivo El Nacional ,Ecuador,Segundo Delantero,26,Bueno,Edwin Cangá
Club Always Ready ,Bolivia,Defensor Lateral Derecho | Extremo Derecho,26,Bueno,Kevin Romay
Club Deportivo El Nacional ,Ecuador,Mediocampista Derecho | Extremo Derecho,25,Bueno,Jorge Ordóñez
Club Always Ready ,Bolivia,Extremo Izquierdo,25,Bueno,Anderson Rey
Club Sol de América ,Paraguay,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Aldo Vera
Club Sol de América ,Paraguay,Mediocampista Defensivo Central,32,Bueno,Edgar Ferreira
Club Deportivo El Nacional ,Ecuador,Defensor Central,31,Bueno,Juan Lara
Club Deportivo Oriente Petrolero ,Bolivia,Defensor Central,25,Bueno,Gustavo Olguín
Club Sol de América ,Paraguay,Mediocampista Izquierdo | Centrocampista Ofensivo Central,20,Bueno,Luis Ortíz
Çaykur Rizespor ,Turkey,Arquero,20,Bueno,Zafer Görgen
CS Emelec ,Ecuador,Mediocampista Defensivo Central,28,Bueno,Dixon Arroyo
Club Atlético Nacional Potosí ,Bolivia,Segundo Delantero | Mediocampista Izquierdo,27,Bueno,Miguel Suárez
FBC Melgar ,Peru,Defensor Lateral Izquierdo,20,Bueno,Leonardo Mifflin
Sociedad Deportiva Aucas ,Ecuador,Defensor Lateral Derecho | Defensor Central,21,Bueno,Richard Mina
Club Social Cultural y Deportivo Blooming,Bolivia,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Andrés Veizaga
Club Social Cultural y Deportivo Blooming,Bolivia,Mediocampista Derecho | Extremo Derecho,20,Bueno,Cesar Menacho
Club Social Cultural y Deportivo Blooming,Bolivia,Defensor Lateral Derecho,21,Bueno,Robert Cueto
Sociedad Deportiva Aucas ,Ecuador,Defensor Lateral Derecho | Mediocampista Defensivo Central,29,Bueno,José Cazares
Club Social Cultural y Deportivo Blooming,Brazil,Centrocampista Ofensivo Central,28,Bueno,Rafinha
CD Mirandés ,Brazil,Segundo Delantero,23,Bueno,Lucas Silva
Club Atlético Nacional Potosí ,Bolivia,Arquero,21,Bueno,Jimmy Roca
Free Agents ,Cameroon,Arquero,22,Bueno,Simon Omossola
Aragua Fútbol Club ,Venezuela,Mediocampista Derecho | Centrocampista Ofensivo Central,27,Bueno,José Torres
Aragua Fútbol Club ,Colombia,Defensor Central,30,Bueno,Octavio Zapata
RC Deportivo ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Derecho,20,Bueno,Valín
SSV Jahn Regensburg ,Germany,Segundo Delantero,24,Bueno,Charalambos Makridis
Borussia Mönchengladbach ,Republic of Ireland,Centrocampista Ofensivo Central,19,Muy Bueno,Conor Noß
Deportivo Binacional ,Peru,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Angel Ojeda
Sport Huancayo ,Peru,Mediocampista Defensivo Central,20,Muy Bueno,Leonardo Villar
Barcelona Guayaquil ,Brazil,Mediocampista Defensivo Central,32,Bueno,Gabriel Marques
Club Atlético Nacional Potosí ,Bolivia,Defensor Central,32,Bueno,Juan Pablo Rioja
Deportivo Binacional ,Peru,Centrocampista Ofensivo Central,21,Bueno,Paolo Méndez
Sport Huancayo ,Peru,Defensor Lateral Derecho,21,Bueno,Anthony Fuentes
Sport Huancayo ,Peru,Defensor Lateral Derecho | Mediocampista Derecho,21,Bueno,Joe Martinez
Empoli ,Italy,Mediocampista Defensivo Central | Mediocampista Central,18,Muy Bueno,Samuele Ricci
Cádiz CF ,Spain,Defensor Lateral Izquierdo,22,Bueno,Franco
Centro Atlético Fénix ,Uruguay,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Central,36,Bueno,Juan Alvez
Centro Atlético Fénix ,Uruguay,Segundo Delantero,27,Bueno,Jorge Trinidad
Club Nacional de Football ,Uruguay,Defensor Lateral Derecho | Defensor Central,20,Bueno,Mathías Laborda
Club Nacional de Football ,Uruguay,Mediocampista Central,21,Bueno,Joaquín Trasante
Liverpool Fútbol Club ,Uruguay,Defensor Lateral Derecho,25,Bueno,Franco Romero
Guaraní (Paraguay) ,Paraguay,Segundo Delantero,24,Bueno,José Florentín
Vitória Guimarães ,Guinea Bissau,Extremo Derecho | Extremo Izquierdo,22,Bueno,Jefferson Encada
Al Ain FC ,Egypt,Mediocampista Izquierdo | Centrocampista Ofensivo Central,20,Bueno,Omar Yaisien
Perugia ,Italy,Mediocampista Central | Centrocampista Ofensivo Central,20,Muy Bueno,Hans Nicolussi Caviglia
Elche CF ,Spain,Mediocampista Central | Centrocampista Ofensivo Central,23,Bueno,Alberto Rubio
IF Elfsborg ,Kenya,Defensor Central,23,Bueno,Joseph Okumu
Estudiantes de Mérida ,Mexico,Segundo Delantero,29,Bueno,Luz Rodríguez
Pachuca ,Mexico,Defensor Lateral Derecho | Mediocampista Derecho,21,Bueno,Kevin Álvarez
Estudiantes de Mérida ,Venezuela,Defensor Central,29,Bueno,Galileo Del Castillo
Vitória Setúbal ,Spain,Centrocampista Ofensivo Central,20,Bueno,Tòfol Montiel
SD Huesca ,Spain,Segundo Delantero,22,Bueno,Seth Airam
FC Groningen ,Netherlands,Segundo Delantero,18,Bueno,Romano Postema
CF Fuenlabrada ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,21,Bueno,Alberto
RC Celta ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,22,Bueno,Bermejo
River Plate ,Argentina,Defensor Lateral Derecho,20,Bueno,Elías López
Villarreal CF ,Spain,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Sergio Lozano
Slask Wroclaw ,Croatia,Defensor Central | Mediocampista Defensivo Central,28,Bueno,Diego Zivulic
Sivasspor ,Serbia,Mediocampista Derecho | Centrocampista Ofensivo Central,20,Bueno,Armin Derlek
Fortuna Düsseldorf ,Ghana,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,19,Muy Bueno,Kelvin Ofori
Strømsgodset IF ,Nigeria,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Ipalibo Jack
Strømsgodset IF ,Norway,Segundo Delantero | Extremo Izquierdo,23,Bueno,Moses Mawa
Chongqing Dangdai Lifan FC SWM Team ,Brazil,Mediocampista Derecho | Extremo Derecho,25,Bueno,Marcinho
Cosenza ,France,Centrocampista Ofensivo Central | Extremo Izquierdo,20,Bueno,Mohamed Bahlouli
Portimonense SC ,Portugal,Mediocampista Central,24,Bueno,Jorge Vilela
Suwon Samsung Bluewings ,Korea Republic,Defensor Lateral Derecho,22,Bueno,Park Dae Won
SC Heerenveen ,Nigeria,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Hamdi Akujobi
Impact Montréal ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Emanuel Maciel
Al Ain FC ,United Arab Emirates,Mediocampista Central,24,Bueno,Mohammed Helal
CF Fuenlabrada ,Spain,Defensor Lateral Derecho,23,Bueno,Dani Fernández
Mineros de Guayana ,Venezuela,Mediocampista Izquierdo | Extremo Izquierdo,21,Muy Bueno,Brayan Hurtado
Getafe CF ,Niger,Defensor Central,22,Bueno,Yacouba Diori
Futebol Clube de Famalicão ,Mali,Defensor Lateral Derecho,19,Bueno,Fodé Konaté
Arsenal de Sarandí ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Leonel Picco
FC Porto ,Senegal,Arquero,22,Bueno,Mouhamed Mbaye
Huddersfield Town ,Uganda,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Derecho,25,Bueno,Herbert Bockhorn
Boavista FC ,Portugal,Arquero,19,Bueno,João Gonçalves
Stade Brestois 29 ,France,Mediocampista Central,20,Bueno,Hianga'a Mbock
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Mediocampista Derecho | Extremo Izquierdo,21,Bueno,Albert Stahl
Angers SCO ,France,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Zinédine Ould Khaled
KAS Eupen ,Belgium,Arquero,22,Bueno,Romain Matthys
Portimonense SC ,Portugal,Segundo Delantero,22,Bueno,Beto
U Craiova 1948 Club Sportiv ,Romania,Extremo Izquierdo,22,Bueno,Vasile Constantin
R. Sporting ,Spain,Mediocampista Izquierdo,22,Bueno,Berto
AFC Chindia Târgovi?te ,Burkina Faso,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Blaise Yaméogo
Free Agents ,India,Defensor Lateral Derecho,32,Bueno,Bhadrashree Raj
Free Agents ,India,Segundo Delantero,35,Bueno,Prakul Bhatt
Shonan Bellmare ,Japan,Defensor Lateral Derecho | Defensor Lateral Izquierdo,25,Bueno,Shunya Mori
Arsenal de Sarandí ,Argentina,Centrocampista Ofensivo Central,20,Bueno,Ramiro Balbuena
Spartak Moscow ,Germany,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,23,Bueno,Malcolm Badu
RKC Waalwijk ,Belgium,Extremo Izquierdo,22,Bueno,Lennerd Daneels
SV Zulte Waregem ,Greece,Defensor Lateral Izquierdo,21,Bueno,Nikolas Kainourgios
Fußballclub Viktoria Köln 1904 e.V. ,Germany,Mediocampista Defensivo Central,23,Bueno,Hamza Saghiri
Trabzonspor ,Turkey,Segundo Delantero | Delantero Centro,18,Bueno,Muhammet Akpinar
Santa Clara ,Portugal,Mediocampista Central,25,Bueno,Nené
Club Brugge KV ,Belgium,Defensor Lateral Izquierdo | Mediocampista Izquierdo,19,Bueno,Maxim De Cuyper
Fotbal Club Academica Clinceni ,Greece,Defensor Central,24,Bueno,Okan Chatziterzoglou
Gil Vicente FC ,Portugal,Arquero,20,Bueno,Brian Araújo
MSV Duisburg ,Germany,Defensor Lateral Izquierdo | Mediocampista Izquierdo,26,Bueno,Lukas Scepanik
Wolfsberger AC ,Austria,Segundo Delantero,22,Bueno,Alexander Schmidt
CD Numancia ,Spain,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Vidorreta
Once Caldas ,Colombia,Defensor Lateral Derecho | Defensor Central,23,Bueno,Junior Julio
La Berrichonne de Châteauroux ,Senegal,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,21,Bueno,Philippe Paulin Keny
FK Austria Wien ,Guinea Bissau,Defensor Central,22,Bueno,Maudo Jarjué
FC Ingolstadt 04 ,Germany,Defensor Central,20,Bueno,Thomas Keller
Zaglebie Lubin ,Slovenia,Segundo Delantero,26,Bueno,Rok Sirk
WSG Swarovski Tirol ,Croatia,Delantero Centro | Extremo Derecho | Extremo Izquierdo,26,Bueno,Dino Kovacec
Club Atlético Central Córdoba ,Paraguay,Defensor Lateral Derecho | Defensor Central,29,Bueno,Hugo Vera
KSV Cercle Brugge ,Belgium,Extremo Derecho | Extremo Izquierdo,21,Bueno,Thibo Somers
Trabzonspor ,Turkey,Defensor Central,19,Muy Bueno,Atakan Gündüz
Fotbal Club Academica Clinceni ,Romania,Segundo Delantero | Mediocampista Izquierdo | Centrocampista Ofensivo Central,26,Bueno,Alexandru Buziuc
Fotbal Club Academica Clinceni ,Romania,Defensor Lateral Izquierdo,27,Bueno,Mihai Dobrescu
Fotbal Club Academica Clinceni ,Romania,Defensor Central,34,Bueno,Razvan Patriche
Fotbal Club Academica Clinceni ,Romania,Arquero,23,Bueno,Octavian Vâlceanu
Fotbal Club Dinamo Bucure?ti ,Romania,Segundo Delantero | Mediocampista Izquierdo,21,Bueno,Mihai Neicu?escu
AFC Chindia Târgovi?te ,Romania,Segundo Delantero | Mediocampista Derecho,24,Bueno,Cristian Negu?
AFC Chindia Târgovi?te ,Romania,Mediocampista Central | Centrocampista Ofensivo Central,32,Bueno,Liviu Mihai
Albacete BP ,Spain,Segundo Delantero,22,Bueno,Miguel Ángel
LKS Lódz ,Spain,Segundo Delantero | Mediocampista Izquierdo,28,Bueno,Pirulo
1. FC Magdeburg ,Germany,Mediocampista Derecho,24,Bueno,Sirlord Conteh
FC Bayern München II ,United States,Defensor Lateral Derecho | Defensor Central,20,Muy Bueno,Chris Richards
Lech Poznan ,Croatia,Mediocampista Defensivo Central,24,Bueno,Karlo Muhar
FC Bayern München II ,Germany,Defensor Lateral Izquierdo,21,Bueno,Derrick Köhn
FC Chambly Oise ,France,Mediocampista Derecho | Mediocampista Izquierdo,28,Bueno,Benjamin Santelli
Desportivo das Aves ,Portugal,Defensor Central,22,Bueno,Bruno Morais
Gil Vicente FC ,Nigeria,Mediocampista Central,24,Bueno,Ahmed Isaiah
Boavista FC ,Paraguay,Extremo Derecho,19,Bueno,Fernando Cardozo
Rodez Aveyron Football ,France,Mediocampista Izquierdo | Mediocampista Central,28,Bueno,Matthieu Guerbert
FC St. Pauli ,Germany,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,20,Bueno,Christian Conteh
FC Chambly Oise ,France,Defensor Extremo Derecho | Mediocampista Derecho | Extremo Derecho,36,Bueno,Anthony Soubervie
CFR Cluj ,Romania,Mediocampista Central,20,Bueno,Catalin Itu
AS Saint-Étienne ,France,Mediocampista Derecho | Centrocampista Ofensivo Central,19,Muy Bueno,Bilal Benkhedim
Ulsan Hyundai Horang-i ,Korea Republic,Mediocampista Derecho,26,Bueno,Jung Hoon Sung
Stoke City ,Republic of Ireland,Defensor Central,19,Muy Bueno,Nathan Collins
FK Austria Wien ,Austria,Defensor Central,22,Bueno,Johannes Handl
FK Haugesund ,Norway,Defensor Lateral Izquierdo | Mediocampista Izquierdo,23,Bueno,Thore Pedersen
River Plate ,Argentina,Centrocampista Ofensivo Central,19,Bueno,Hernán López
Spartak Moscow ,Russia,Defensor Central,22,Bueno,Ilya Gaponov
Free Agents ,Bulgaria,Segundo Delantero | Mediocampista Derecho,19,Bueno,Martin Minchev
OGC Nice ,Tunisia,Extremo Izquierdo,20,Bueno,Assil Jaziri
Fotbal Club Politehnica Ia?i ,Romania,Defensor Central | Mediocampista Defensivo Central,35,Bueno,Marius Mihalache
Fotbal Club Voluntari ,Romania,Arquero,30,Bueno,Victor Rîmniceanu
Fotbal Club Boto?ani ,Romania,Defensor Lateral Derecho,32,Bueno,Andrei Patache
Asocia?ia Fotbal Club Hermannstadt ,Romania,Mediocampista Central | Centrocampista Ofensivo Central,27,Bueno,Lucian Dumitriu
Clubul Sportiv Gaz Metan Media? ,Italy,Defensor Lateral Derecho | Mediocampista Derecho,30,Bueno,Roberto Romeo
Fotbal Club Politehnica Ia?i ,Romania,Mediocampista Izquierdo,25,Bueno,Doru Popadiuc
Royal Antwerp FC ,Belgium,Defensor Lateral Derecho | Defensor Lateral Izquierdo,18,Muy Bueno,Robbe Quirynen
Fortuna Sittard ,Finland,Segundo Delantero | Mediocampista Derecho,24,Bueno,Rasmus Karjalainen
SV Mattersburg ,Austria,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,22,Bueno,Christoph Halper
Alianza Petrolera ,Colombia,Mediocampista Defensivo Central,22,Bueno,Juan Mancilla
Bolton Wanderers ,Romania,Mediocampista Derecho | Mediocampista Izquierdo,20,Bueno,Dennis Politic
West Ham United ,England,Defensor Lateral Derecho,19,Muy Bueno,Jeremy Ngakia
La Berrichonne de Châteauroux ,France,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,20,Bueno,Léo Leroy
FC Cincinnati ,United States,Mediocampista Central | Centrocampista Ofensivo Central,19,Bueno,Frankie Amaya
VfL Bochum 1848 ,Germany,Defensor Central,18,Muy Bueno,Armel Bella-Kotchap
Minnesota United FC ,United States,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Defensivo Central,23,Bueno,Hassani Dotson
Minnesota United FC ,United States,Defensor Lateral Izquierdo | Defensor Central,24,Bueno,Chase Gasper
Real Madrid ,Spain,Arquero,20,Muy Bueno,Altube
FC St. Gallen 1879 ,Switzerland,Defensor Central,18,Muy Bueno,Leonidas Stergiou
Matsumoto Yamaga F.C. ,Japan,Defensor Central,30,Bueno,Nobuhisa Urata
Falkenbergs FF ,Ghana,Segundo Delantero,24,Bueno,Kwame Kizito
Shakhtar Donetsk ,Ukraine,Segundo Delantero,19,Muy Bueno,Danylo Sikan
Hallescher FC ,Germany,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,25,Bueno,Felix Drinkuth
Al Ain FC ,United Arab Emirates,Defensor Central | Mediocampista Defensivo Central,21,Bueno,Yahia Nader
AFC Eskilstuna ,Nigeria,Segundo Delantero | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Samuel Nnamani
D.C. United ,United States,Defensor Central,22,Bueno,Donovan Pines
FC Zürich ,Georgia,Defensor Lateral Izquierdo | Mediocampista Izquierdo,20,Muy Bueno,Levan Kharabadze
Portland Timbers ,Slovenia,Arquero,26,Bueno,Aljaz Ivacic
Villarreal CF ,Spain,Defensor Central,21,Bueno,Pepe Castaño
Jagiellonia Bialystok ,Slovakia,Defensor Lateral Derecho,24,Bueno,Andrej Kadlec
Oldham Athletic ,France,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Mohamed Sylla
Manchester City ,England,Mediocampista Central | Centrocampista Ofensivo Central,19,Muy Bueno,Felix Nmecha
Roma ,Italy,Mediocampista Central | Centrocampista Ofensivo Central,19,Muy Bueno,Alessio Riccardi
Olympique Lyonnais ,France,Extremo Izquierdo,21,Bueno,Boubacar Fofana
Oxford United ,Northern Ireland,Mediocampista Central | Extremo Derecho,22,Bueno,Mark Sykes
Clermont Foot 63 ,France,Defensor Central,20,Bueno,Till Cissokho
New England Revolution ,United States,Defensor Lateral Izquierdo | Mediocampista Izquierdo,23,Bueno,DeJuan Jones
Viking FK ,Norway,Defensor Central,24,Bueno,Runar Hove
F.C. Tokyo ,Japan,Arquero,32,Bueno,Tsuyoshi Kodama
Leeds United ,England,Defensor Lateral Izquierdo | Defensor Central,20,Bueno,Leif Davis
Inter ,France,Mediocampista Central,18,Muy Bueno,Lucien Agoume
Matsumoto Yamaga F.C. ,Japan,Mediocampista Defensivo Central | Mediocampista Central,31,Bueno,Masaki Miyasaka
Real Madrid ,Spain,Defensor Lateral Izquierdo | Extremo Izquierdo,20,Bueno,Fran García
Oita Trinita ,Japan,Segundo Delantero | Delantero Centro,28,Bueno,Kohei Isa
Fotbal Club Dinamo Bucure?ti ,Romania,Defensor Lateral Izquierdo | Defensor Central,21,Bueno,Ricardo Grigore
Fotbal Club Dinamo Bucure?ti ,Romania,Segundo Delantero,25,Bueno,Daniel Popa
FC København ,Denmark,Segundo Delantero | Mediocampista Derecho,18,Muy Bueno,Mohamed Daramy
Shimizu S-Pulse ,Japan,Defensor Lateral Izquierdo | Defensor Central,27,Bueno,Naoya Fukumori
Valencia CF ,Spain,Defensor Central,20,Bueno,Guillamón
Athlétic Club Ajaccio ,France,Segundo Delantero | Mediocampista Derecho,21,Bueno,Mounaïm El Idrissy
Extremadura UD ,Japan,Arquero,22,Bueno,Louis Yamaguchi
River Plate ,Argentina,Segundo Delantero,19,Bueno,Lucas Beltrán
Lokomotiv Moscow ,Russia,Mediocampista Izquierdo,22,Bueno,Roman Tugarev
Club Deportivo Jorge Wilstermann ,Bolivia,Mediocampista Izquierdo | Mediocampista Central | Extremo Izquierdo,25,Bueno,Paul Arano
San Lorenzo de Almagro ,Argentina,Centrocampista Ofensivo Central,18,Muy Bueno,Matías Palacios
AZ ,Netherlands,Mediocampista Central | Centrocampista Ofensivo Central,18,Bueno,Kenzo Goudmijn
LDU Quito ,Ecuador,Mediocampista Defensivo Central,30,Bueno,Edison Vega
Orlando City Soccer Club ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,19,Bueno,Andrés Perea
R. Oviedo ,Spain,Defensor Lateral Derecho,21,Bueno,Jorge Mier
Free Agents ,Bulgaria,Defensor Central | Mediocampista Defensivo Central,29,Bueno,Aleksandar Tsvetkov
Real Betis ,Spain,Mediocampista Izquierdo,23,Bueno,Iván
IF Elfsborg ,Sweden,Defensor Central,22,Bueno,Gustav Henriksson
